name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Duke of Wellington,331 Hatton Road,Bedfont (East),Feltham,E09000018,Hounslow,,E05000346,Bedfont,,-0.4271074782420615,51.46236461037172,509365.4474159268,174883.01976360206,08/25/2019
Three Kings,42 Heath Road,Twickenham,,E09000027,Richmond upon Thames,,E05000531,Twickenham Riverside,,-0.3310827144038307,51.44553404612226,516078.52242557367,173158.99405081227,08/25/2019
Albany,1 Queens Road,Twickenham,,E09000027,Richmond upon Thames,,E05000531,Twickenham Riverside,,-0.33207852277851607,51.44821894244562,516002.5247895064,173455.99226013664,08/25/2019
Alexander Pope,Cross Deep,Twickenham,,E09000027,Richmond upon Thames,,E05000529,South Twickenham,,-0.33308757970619374,51.44027510025991,515952.5089339182,172571.00070043077,08/25/2019
Prince Blucher,124 The Green,Twickenham,,E09000027,Richmond upon Thames,,E05000529,South Twickenham,,-0.3434818797889959,51.444496036016304,515219.50233436574,173024.0058132296,08/25/2019
TW2 Bar & Grill,80-82 The Green,Twickenham,,E09000027,Richmond upon Thames,,E05000529,South Twickenham,,-0.3434818797889959,51.444496036016304,515219.50233436574,173024.0058132296,08/25/2019
Bloomsbury,209 Staines Road,Twickenham,,E09000027,Richmond upon Thames,,E05000532,West Twickenham,,-0.35200151040451405,51.442080351085586,514633.49363225856,172742.0160620747,08/25/2019
Sussex Arms,15 Staines Road,Twickenham,,E09000027,Richmond upon Thames,,E05000532,West Twickenham,,-0.34605859886872636,51.4440738300904,515041.4993677212,172973.0085514303,08/25/2019
Brouge,241 Hampton Road,Twickenham,,E09000027,Richmond upon Thames,,E05000529,South Twickenham,,-0.3499675920599412,51.43662937013916,514788.4954720683,172139.02016698796,08/25/2019
Fountain,1 Sixth Cross Road,Twickenham,,E09000027,Richmond upon Thames,,E05000532,West Twickenham,,-0.35891265904505515,51.4383466504192,514162.4943104653,172316.02722793678,08/25/2019
Prince Albert,30 Hampton Road,Twickenham,,E09000027,Richmond upon Thames,,E05000532,West Twickenham,,-0.3445519184832741,51.441966338135515,515151.4993210232,172741.00939178804,08/25/2019
Prince of Wales,136 Hampton Road,Twickenham,,E09000027,Richmond upon Thames,,E05000532,West Twickenham,,-0.34860780569738103,51.43922697025195,514876.4959674162,172430.01603542903,08/25/2019
Winning Post,"Chertsey Road, Twickenham",Whitton,Twickenham,E09000027,Richmond upon Thames,,E05000523,Heathfield,,-0.35595199248046344,51.447872930649076,514344.4935094755,173380.01373833284,08/25/2019
Admiral Nelson,"123 Nelson Road, Whitton",Whitton,Twickenham,E09000027,Richmond upon Thames,,E05000533,Whitton,,-0.36033911119232803,51.45275426035464,514027.49291687284,173916.01215652522,08/25/2019
Duke of Cambridge,"Kneller Road, Twickenham",Whitton,Twickenham,E09000027,Richmond upon Thames,,E05000533,Whitton,,-0.35245029987338133,51.455197412878235,514569.4979342454,174200.00264665385,08/25/2019
White Hart Inn,"121 Kneller Road, Twickenham",Whitton,Twickenham,E09000027,Richmond upon Thames,,E05000533,Whitton,,-0.3564846179963206,51.45588352109989,514287.49591249414,174270.00501677493,08/25/2019
Prince Albert,"54/56 Hounslow Road, Twickenham",Whitton,Twickenham,E09000027,Richmond upon Thames,,E05000533,Whitton,,-0.35840903207958574,51.454399795904166,514157.49421704665,174102.0083569407,08/25/2019
Bulstrode,55 Lampton Road,Hounslow,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.36658890012832684,51.47040357381947,513549.48536283,175869.01679685008,08/25/2019
